,Item_ID,Item_Price,Item_Store_ID,Item_Store_Returns,Item_Sugar_Content,Item_Visibility,Item_Weight,Store_ID,Store_Location_Type,Store_Size,Store_Start_Year,Store_Type
0,DRA12,357.54,DRA12_BABATUNJI010,709.08,1,0.068535039,11.6,BABATUNJI010,2,1,2005,0
1,DRA12,355.79,DRA12_BABATUNJI013,6381.69,1,0.040911824,11.6,BABATUNJI013,2,2,1994,1
2,DRA12,350.79,DRA12_BABATUNJI017,6381.69,1,0.041177505,11.6,BABATUNJI017,1,1,2014,1
3,DRA12,355.04,DRA12_BABATUNJI018,2127.23,1,0.041112694,11.6,BABATUNJI018,2,1,2016,2
4,DRA12,354.79,DRA12_BABATUNJI035,2481.77,0,0.0,11.6,BABATUNJI035,1,0,2011,1
5,DRA12,354.04,DRA12_BABATUNJI045,9572.54,1,0.0,11.6,BABATUNJI045,1,1,2009,1
6,DRA24,409.72,DRA24_BABATUNJI010,818.93,2,0.066831682,19.35,BABATUNJI010,2,1,2005,0
7,DRA24,406.22,DRA24_BABATUNJI013,11055.61,2,0.039895009,19.35,BABATUNJI013,2,2,1994,1
8,DRA24,411.72,DRA24_BABATUNJI017,2866.27,2,0.040154087000000005,19.35,BABATUNJI017,1,1,2014,1
9,DRA24,408.22,DRA24_BABATUNJI019,1228.4,2,0.069909188,12.90883834765998,BABATUNJI019,0,0,1992,0
10,DRA24,414.47,DRA24_BABATUNJI027,12284.01,2,0.039734882,12.90883834765998,BABATUNJI027,2,1,1992,3
11,DRA24,408.47,DRA24_BABATUNJI035,8598.81,2,0.039920687,19.35,BABATUNJI035,1,0,2011,1
12,DRA24,412.72,DRA24_BABATUNJI049,2456.8,2,0.039990314,19.35,BABATUNJI049,0,1,2006,1
13,DRA59,458.23,DRA59_BABATUNJI017,6015.5,2,0.0,8.27,BABATUNJI017,1,1,2014,1
14,DRA59,466.48,DRA59_BABATUNJI018,11105.54,2,0.128449055,8.27,BABATUNJI018,2,1,2016,2
15,DRA59,465.73,DRA59_BABATUNJI019,1388.19,2,0.223985293,12.90883834765998,BABATUNJI019,0,0,1992,0
16,DRA59,466.73,DRA59_BABATUNJI027,17583.78,2,0.127308434,12.90883834765998,BABATUNJI027,2,1,1992,3
17,DRA59,462.23,DRA59_BABATUNJI046,11105.54,2,0.127927931,8.27,BABATUNJI046,0,0,2004,1
18,DRA59,459.23,DRA59_BABATUNJI049,3239.12,2,0.128126825,8.27,BABATUNJI049,0,1,2006,1
19,DRB01,475.13,DRB01_BABATUNJI027,1423.15,1,0.081841136,12.90883834765998,BABATUNJI027,2,1,1992,3
20,DRB01,469.38,DRB01_BABATUNJI049,3795.06,1,0.082367244,7.39,BABATUNJI049,0,1,2006,1
21,DRB13,477.88,DRB13_BABATUNJI017,8538.89,2,0.007084185,6.115,BABATUNJI017,1,1,2014,1
22,DRB13,475.88,DRB13_BABATUNJI035,1423.15,2,0.007043008000000001,6.115,BABATUNJI035,1,0,2011,1
23,DRB13,471.63,DRB13_BABATUNJI049,9013.27,2,0.0070552919999999995,6.115,BABATUNJI049,0,1,2006,1
24,DRB24,382.91,DRB24_BABATUNJI017,4633.97,1,0.020693619,8.785,BABATUNJI017,1,1,2014,1
25,DRB24,391.16,DRB24_BABATUNJI035,5406.3,1,0.020573334,8.785,BABATUNJI035,1,0,2011,1
26,DRB24,382.66,DRB24_BABATUNJI045,10426.43,1,0.020618957,8.785,BABATUNJI045,1,1,2009,1
27,DRB24,387.91,DRB24_BABATUNJI049,10040.26,1,0.020609218000000002,8.785,BABATUNJI049,0,1,2006,1
28,DRB25,267.73,DRB25_BABATUNJI010,535.97,1,0.116261335,12.3,BABATUNJI010,2,1,2005,0
29,DRB25,269.98,DRB25_BABATUNJI013,5091.71,1,0.069401919,12.3,BABATUNJI013,2,2,1994,1
30,DRB25,265.73,DRB25_BABATUNJI018,4287.75,1,0.069742672,12.3,BABATUNJI018,2,1,2016,2
31,DRB48,102.46,DRB48_BABATUNJI010,392.82,2,0.041599644,16.75,BABATUNJI010,2,1,2005,0
32,DRB48,96.96,DRB48_BABATUNJI013,1669.49,2,0.024832806000000002,16.75,BABATUNJI013,2,2,1994,1
33,DRC01,125.92,DRC01_BABATUNJI013,1478.08,2,0.019184026,5.92,BABATUNJI013,2,2,1994,1
34,DRC12,472.8,DRC12_BABATUNJI017,8092.8,1,0.038040837,17.85,BABATUNJI017,1,1,2014,1
35,DRC12,479.05,DRC12_BABATUNJI035,6188.61,1,0.03781972,17.85,BABATUNJI035,1,0,2011,1
36,DRC12,474.3,DRC12_BABATUNJI046,5712.56,1,0.037826873,17.85,BABATUNJI046,0,0,2004,1
37,DRC12,476.05,DRC12_BABATUNJI049,2380.24,1,0.037885682999999996,17.85,BABATUNJI049,0,1,2006,1
38,DRC13,311.68,DRC13_BABATUNJI017,4618.99,2,0.032625074,8.26,BABATUNJI017,1,1,2014,1
39,DRC13,312.68,DRC13_BABATUNJI018,2463.46,2,0.032573725,8.26,BABATUNJI018,2,1,2016,2
40,DRC24,383.0,DRC24_BABATUNJI017,8458.99,1,0.024961677,17.85,BABATUNJI017,1,1,2014,1
41,DRC24,383.75,DRC24_BABATUNJI018,7305.49,1,0.02492239,17.85,BABATUNJI018,2,1,2016,2
42,DRC25,213.97,DRC25_BABATUNJI010,429.44,1,0.075943184,5.73,BABATUNJI010,2,1,2005,0
43,DRC25,217.72,DRC25_BABATUNJI013,4509.13,1,0.045334097999999996,5.73,BABATUNJI013,2,2,1994,1
44,DRC27,609.2,DRC27_BABATUNJI017,4913.6,1,0.05843112,13.8,BABATUNJI017,1,1,2014,1
45,DRC27,612.95,DRC27_BABATUNJI035,14126.61,1,0.058091482,13.8,BABATUNJI035,1,0,2011,1
46,DRC27,618.7,DRC27_BABATUNJI045,3685.2,1,0.058220302,13.8,BABATUNJI045,1,1,2009,1
47,DRC36,435.26,DRC36_BABATUNJI017,10944.09,2,0.045239325999999996,13.0,BABATUNJI017,1,1,2014,1
48,DRC36,434.26,DRC36_BABATUNJI027,14446.2,2,0.044767032000000005,12.90883834765998,BABATUNJI027,2,1,1992,3
49,DRC36,440.51,DRC36_BABATUNJI035,3064.34,2,0.044976367,13.0,BABATUNJI035,1,0,2011,1
50,DRC36,437.51,DRC36_BABATUNJI046,4815.4,2,0.044984874,13.0,BABATUNJI046,0,0,2004,1
51,DRC49,364.28,DRC49_BABATUNJI027,10066.9,0,0.065119701,12.90883834765998,BABATUNJI027,2,1,1992,3
52,DRC49,364.53,DRC49_BABATUNJI035,6112.04,1,0.065424208,8.67,BABATUNJI035,1,0,2011,1
53,DRC49,357.28,DRC49_BABATUNJI046,5033.45,1,0.065436581,8.67,BABATUNJI046,0,0,2004,1
54,DRD12,231.79,DRD12_BABATUNJI013,4332.69,1,0.077129323,6.96,BABATUNJI013,2,2,1994,1
55,DRD13,163.54,DRD13_BABATUNJI013,4154.59,1,0.049038621,15.0,BABATUNJI013,2,2,1994,1
56,DRD15,582.91,DRD15_BABATUNJI019,1742.73,1,0.09944232900000001,12.90883834765998,BABATUNJI019,0,0,1992,0
57,DRD15,579.91,DRD15_BABATUNJI035,5228.19,1,0.056785182999999996,10.6,BABATUNJI035,1,0,2011,1
58,DRD15,584.91,DRD15_BABATUNJI045,9294.57,1,0.056911107,10.6,BABATUNJI045,1,1,2009,1
59,DRD24,356.29,DRD24_BABATUNJI010,354.54,1,0.051544658,13.85,BABATUNJI010,2,1,2005,0
60,DRD24,354.29,DRD24_BABATUNJI013,7445.31,1,0.030769458,13.85,BABATUNJI013,2,2,1994,1
61,DRD24,352.29,DRD24_BABATUNJI017,4254.46,1,0.030969273999999998,13.85,BABATUNJI017,1,1,2014,1
62,DRD24,352.54,DRD24_BABATUNJI018,4254.46,1,0.030920531,13.85,BABATUNJI018,2,1,2016,2
63,DRD24,358.29,DRD24_BABATUNJI046,4963.54,1,0.030795085,13.85,BABATUNJI046,0,0,2004,1
64,DRD24,357.79,DRD24_BABATUNJI049,6381.69,1,0.030842962999999998,13.85,BABATUNJI049,0,1,2006,1
65,DRD25,287.72,DRD25_BABATUNJI010,1131.86,1,0.132183029,6.135,BABATUNJI010,2,1,2005,0
66,DRD25,278.22,DRD25_BABATUNJI018,5659.3,0,0.079293753,6.135,BABATUNJI018,2,1,2016,2
67,DRD25,279.22,DRD25_BABATUNJI019,1131.86,1,0.13826987300000002,12.90883834765998,BABATUNJI019,0,0,1992,0
